day;m1
1;0.166667
2;0.166667
3;0.166667
4;0.166667
5;0.166667
6;0.166667
7;0.166667
8;0.25
9;0.25
10;0.25
11;0.25
12;0.25
13;0.25
14;0.25
15;0.25
16;0.25
17;0.25
18;0.25
19;0.25
20;0.25
21;0.25
22;0.25
23;0.25
24;0.25
25;0.208333
26;0.208333
27;0.208333
28;0.208333
29;0.208333
30;0.208333
31;0.208333
32;0.208333
33;0.208333
34;0.208333
35;0.208333
36;0.208333
37;0.208333
38;0.208333
39;0.208333
40;0.208333
41;0.208333
42;0.208333
43;0.208333
44;0.208333
45;0.208333
46;0.208333
47;0.208333
48;0.208333
49;0.208333
50;0.208333
51;0.208333
52;0.208333
53;0.208333
54;0.208333
55;0.208333
56;0.208333
57;0.208333
58;0.208333
59;0.208333
60;0.208333
61;0.208333
62;0.208333
63;0.208333
64;0.208333
65;0.208333
66;0.208333
67;0.208333
68;0.208333
69;0.208333
70;0.208333
71;0.208333
72;0.208333
73;0.208333
74;0.208333
75;0.208333
76;0.208333
77;0.208333
78;0.208333
79;0.208333
80;0.208333
81;0.208333
82;0.208333
83;0.208333
84;0.208333
85;0.208333
86;0.208333
87;0.208333
88;0.208333
89;0.208333
90;0.208333
91;0.208333
92;0.208333
93;0.208333
94;0.208333
95;0.208333
96;0.208333
97;0.208333
98;0.208333
99;0.208333
100;0.208333
101;0.208333
102;0.208333
103;0.208333
104;0.208333
105;0.208333
106;0.208333
107;0.208333
108;0.208333
109;0.208333
110;0.208333
111;0.208333
112;0.208333
113;0.208333
114;0.208333
115;0.208333
116;0.208333
117;0.208333
118;0.208333
119;0.208333
120;0.208333
121;0.208333
122;0.208333
123;0.208333
124;0.208333
125;0.208333
126;0.208333
127;0.208333
128;0.208333
129;0.208333
130;0.208333
131;0.208333
132;0.208333
133;0.208333
134;0.208333
135;0.208333
136;0.208333
137;0.208333
138;0.208333
139;0.208333
140;0.208333
141;0.208333
142;0.208333
143;0.208333
144;0.208333
145;0.208333
146;0.208333
147;0.208333
148;0.208333
149;0.208333
150;0.208333
151;0.208333
152;0.208333
153;0.208333
154;0.208333
155;0.208333
156;0.208333
157;0.208333
158;0.208333
159;0.208333
160;0.208333
161;0.208333
162;0.208333
163;0.208333
164;0.208333
165;0.208333
166;0.208333
167;0.208333
168;0.208333
169;0.208333
170;0.208333
171;0.208333
172;0.208333
173;0.208333
174;0.208333
175;0.208333
176;0.208333
177;0.208333
178;0.208333
179;0.208333
180;0.208333
181;0.208333
182;0.208333
183;0.208333
184;0.208333
185;0.208333
186;0.208333
187;0.208333
188;0.208333
189;0.208333
190;0.208333
191;0.208333
192;0.208333
193;0.208333
194;0.208333
195;0.208333
196;0.208333
197;0.208333
198;0.208333
199;0.208333
200;0.208333
